,0,1,2,3,4
0,C101P62ThinF_IMG_20150918_151006_cell_73,C101P62ThinF_IMG_20150918_151006_cell_73,Tropozoit,Tropozoit,sama
1,C101P62ThinF_IMG_20150918_151149_cell_71,C101P62ThinF_IMG_20150918_151149_cell_71,Tropozoit,Tropozoit,sama
2,C101P62ThinF_IMG_20150918_155731_cell_75,C101P62ThinF_IMG_20150918_155731_cell_75,Sizon,Sizon,sama
3,C101P62ThinF_IMG_20150923_165215_cell_16,C101P62ThinF_IMG_20150923_165215_cell_16,Tropozoit,Tropozoit,sama
4,C107P68ThinF_IMG_20150924_222415_cell_178,C107P68ThinF_IMG_20150924_222415_cell_178,Tropozoit,Tropozoit,sama
5,C111P72ThinF_IMG_20150930_112827_cell_179,C111P72ThinF_IMG_20150930_112827_cell_179,Tropozoit,Tropozoit,sama
6,C113P74ThinF_IMG_20150930_134614_cell_174,C113P74ThinF_IMG_20150930_134614_cell_174,Gametosit,Tropozoit,tidak sama
7,C117P78ThinF_IMG_20150930_214941_cell_81,C117P78ThinF_IMG_20150930_214941_cell_81,Gametosit,Gametosit,sama
8,C118P79ThinF_IMG_20151002_110002_cell_26,C118P79ThinF_IMG_20151002_110002_cell_26,Tropozoit,Tropozoit,sama
9,C119P80ThinF_IMG_20151002_124304_cell_165,C119P80ThinF_IMG_20151002_124304_cell_165,Tropozoit,Tropozoit,sama
10,C119P80ThinF_IMG_20151002_124345_cell_144,C119P80ThinF_IMG_20151002_124345_cell_144,Tropozoit,Tropozoit,sama
11,C120P81ThinF_IMG_20151002_130150_cell_202,C120P81ThinF_IMG_20151002_130150_cell_202,Gametosit,Gametosit,sama
12,C120P81ThinF_IMG_20151002_130918_cell_208,C120P81ThinF_IMG_20151002_130918_cell_208,Gametosit,Gametosit,sama
13,C123P84ThinF_IMG_20151002_151143_cell_187,C123P84ThinF_IMG_20151002_151143_cell_187,Tropozoit,Tropozoit,sama
14,C126P87ThinF_IMG_20151004_104728_cell_129,C126P87ThinF_IMG_20151004_104728_cell_129,Sizon,Sizon,sama
15,C127P88ThinF_IMG_20151004_111436_cell_124,C127P88ThinF_IMG_20151004_111436_cell_124,Gametosit,Sizon,tidak sama
16,C127P88ThinF_IMG_20151004_111526_cell_101,C127P88ThinF_IMG_20151004_111526_cell_101,Gametosit,Sizon,tidak sama
17,C130P91ThinF_IMG_20151004_141428_cell_132,C130P91ThinF_IMG_20151004_141428_cell_132,Tropozoit,Tropozoit,sama
18,C131P92ThinF_IMG_20151004_151001_cell_126,C131P92ThinF_IMG_20151004_151001_cell_126,Sizon,Sizon,sama
19,C133P94ThinF_IMG_20151004_154919_cell_146,C133P94ThinF_IMG_20151004_154919_cell_146,Sizon,Sizon,sama
20,C133P94ThinF_IMG_20151004_155518_cell_99,C133P94ThinF_IMG_20151004_155518_cell_99,Gametosit,Gametosit,sama
21,C133P94ThinF_IMG_20151004_155912_cell_6,C133P94ThinF_IMG_20151004_155912_cell_6,Sizon,Sizon,sama
22,C136P97ThinF_IMG_20151005_140538_cell_110,C136P97ThinF_IMG_20151005_140538_cell_110,Gametosit,Gametosit,sama
23,C136P97ThinF_IMG_20151005_140538_cell_121,C136P97ThinF_IMG_20151005_140538_cell_121,Tropozoit,Tropozoit,sama
24,C136P97ThinF_IMG_20151005_142437_cell_129,C136P97ThinF_IMG_20151005_142437_cell_129,Gametosit,Sizon,tidak sama
25,C137P98ThinF_IMG_20151005_162010_cell_93,C137P98ThinF_IMG_20151005_162010_cell_93,Tropozoit,Tropozoit,sama
26,C137P98ThinF_IMG_20151005_163218_cell_73,C137P98ThinF_IMG_20151005_163218_cell_73,Tropozoit,Tropozoit,sama
27,C140P101ThinF_IMG_20151005_205922_cell_184,C140P101ThinF_IMG_20151005_205922_cell_184,Tropozoit,Tropozoit,sama
28,C39P4thinF_original_IMG_20150622_105102_cell_89,C39P4thinF_original_IMG_20150622_105102_cell_89,Gametosit,Gametosit,sama
29,C39P4thinF_original_IMG_20150622_105554_cell_16,C39P4thinF_original_IMG_20150622_105554_cell_16,Gametosit,Gametosit,sama
30,C39P4thinF_original_IMG_20150622_113126_cell_13,C39P4thinF_original_IMG_20150622_113126_cell_13,Tropozoit,Tropozoit,sama
31,C39P4thinF_original_IMG_20150622_113842_cell_34,C39P4thinF_original_IMG_20150622_113842_cell_34,Gametosit,Gametosit,sama
32,C48P9thinF_IMG_20150721_164031_cell_1,C48P9thinF_IMG_20150721_164031_cell_1,Gametosit,Gametosit,sama
33,C60P21thinF_IMG_20150804_113602_cell_124,C60P21thinF_IMG_20150804_113602_cell_124,Tropozoit,Tropozoit,sama
34,C67P28N_ThinF_IMG_20150819_115955_cell_171,C67P28N_ThinF_IMG_20150819_115955_cell_171,Sizon,Tropozoit,tidak sama
35,C68P29N_ThinF_IMG_20150819_133447_cell_126,C68P29N_ThinF_IMG_20150819_133447_cell_126,Gametosit,Gametosit,sama
36,C68P29N_ThinF_IMG_20150819_133447_cell_132,C68P29N_ThinF_IMG_20150819_133447_cell_132,Sizon,Sizon,sama
37,C68P29N_ThinF_IMG_20150819_134326_cell_138,C68P29N_ThinF_IMG_20150819_134326_cell_138,Sizon,Gametosit,tidak sama
38,C70P31_ThinF_IMG_20150813_130332_cell_100,C70P31_ThinF_IMG_20150813_130332_cell_100,Tropozoit,Tropozoit,sama
39,C80P41ThinF_IMG_20150817_110834_cell_121,C80P41ThinF_IMG_20150817_110834_cell_121,Gametosit,Gametosit,sama
40,C80P41ThinF_IMG_20150817_110834_cell_146,C80P41ThinF_IMG_20150817_110834_cell_146,Gametosit,Gametosit,sama
41,C80P41ThinF_IMG_20150817_112329_cell_19,C80P41ThinF_IMG_20150817_112329_cell_19,Tropozoit,Tropozoit,sama
42,C84P45ThinF_IMG_20150818_101412_cell_104,C84P45ThinF_IMG_20150818_101412_cell_104,Tropozoit,Tropozoit,sama
43,C84P45ThinF_IMG_20150818_102654_cell_87,C84P45ThinF_IMG_20150818_102654_cell_87,Sizon,Sizon,sama
44,C97P58ThinF_IMG_20150917_151551_cell_165,C97P58ThinF_IMG_20150917_151551_cell_165,Tropozoit,Tropozoit,sama
45,C97P58ThinF_IMG_20150917_151551_cell_167,C97P58ThinF_IMG_20150917_151551_cell_167,Gametosit,Gametosit,sama
46,C97P58ThinF_IMG_20150917_152032_cell_175,C97P58ThinF_IMG_20150917_152032_cell_175,Sizon,Sizon,sama
47,C99P60ThinF_IMG_20150918_140900_cell_142,C99P60ThinF_IMG_20150918_140900_cell_142,Gametosit,Tropozoit,tidak sama
48,C99P60ThinF_IMG_20150918_141001_cell_140,C99P60ThinF_IMG_20150918_141001_cell_140,Gametosit,Gametosit,sama
